slug,word_count,sim_template,closest_slug,sim_closest,has_main_route,has_drive_minutes,has_landmark_h3,img_count
haines-falls-ny,691,0.0317,palenville-ny,0.8237,1,1,1,0
cairo-ny,693,0.0327,windham-ny,0.4677,1,1,1,0
kaaterskill-falls,641,0.0139,jewett-ny,0.4587,1,1,1,0
woodstock-ny,694,0.0336,saugerties-ny,0.4389,1,1,1,0
hunter-ny,681,0.0320,palenville-ny,0.4229,1,1,1,0
windham-ny,688,0.0328,cairo-ny,0.2970,1,1,1,0
elka-park-ny,682,0.0319,lanesville-ny,0.2888,1,1,1,0
lexington-ny,705,0.0323,haines-falls-ny,0.2815,1,1,1,0
palenville-ny,700,0.0315,jewett-ny,0.2740,1,1,1,0
phoenicia-ny,698,0.0326,woodstock-ny,0.2231,1,1,1,0
saugerties-ny,703,0.0334,woodstock-ny,0.2224,1,1,1,0
lanesville-ny,695,0.0327,woodstock-ny,0.2215,1,1,1,0
hunter-mountain,653,0.0172,jewett-ny,0.2013,1,1,0,0
east-jewett-ny,747,0.0316,catskill-ny,0.0940,1,1,1,0
esopus-creek-phoenicia,660,0.0208,east-jewett-ny,0.0824,1,1,1,0
tannersville-ny,685,0.0127,phoenicia-ny,0.0802,1,1,1,0
jewett-ny,691,0.0336,cairo-ny,0.0800,1,1,1,0
onteora-park-ny,694,0.0318,cairo-ny,0.0799,1,1,0,0
catskill-ny,744,0.0334,east-jewett-ny,0.0771,1,1,1,0
windham-mountain,657,0.0150,hunter-mountain,0.0469,1,1,1,0
jewett-east-jewett-ny,4,0.0000,cairo-ny,0.0000,0,0,0,0
